,Stem,Score,sType,TF,wTF,wTFref
criticized,critic,2.128523280147848,raw,3,0.0002456600065509335,2.923671295812885e-05
cross,cross,1.4533946050905808,raw,6,0.000491320013101867,0.00011485851519264906
crosses,cross,3.381286248643216,raw,3,0.0002456600065509335,8.353346559465386e-06
crossing,cross,2.0107402444914646,raw,4,0.00032754667540124465,4.385506943719327e-05
cruise,cruis,3.668968321094997,stem,7,0.0005732066819521781,1.4618356479064425e-05
cultural,cultur,2.4948484799187423,raw,17,0.0013920733704552899,0.00011485851519264906
culture,cultur,2.4417386546047934,raw,17,0.0013920733704552899,0.00012112352511224809
cultures,cultur,2.9758211405350514,raw,6,0.000491320013101867,2.506003967839616e-05
cup,cup,1.4717437437587777,raw,5,0.00040943334425155587,9.397514879398559e-05
current,current,0.41087178307351485,raw,4,0.00032754667540124465,0.00021718701054610002
cyberpunk,cyberpunk,2.405690713530154,noref,11,0.0009007533573534229,
cynical,cynic,2.5703560324268873,raw,3,0.0002456600065509335,1.8795029758797117e-05
da,da,2.5703560324268873,raw,5,0.00040943334425155587,3.1325049597995194e-05
dance,danc,0.7785965631988323,raw,5,0.00040943334425155587,0.00018795029758797118
danger,danger,0.8067674401655285,raw,4,0.00032754667540124465,0.00014618356479064425
dark,dark,1.6266663263646175,raw,24,0.001965280052407468,0.0003863422783752741
data,data,-0.38571098473467247,raw,3,0.0002456600065509335,0.00036128223869687795
date,date,0.1328516215334708,raw,3,0.0002456600065509335,0.00021509867390623368
day,day,-0.5607808781333066,raw,10,0.0008188666885031117,0.00143468727158818
days,day,-0.6722363190586296,raw,5,0.00040943334425155587,0.0008019212697086771
dayuan,dayuan,,noref,3,0.0002456600065509335,
de,de,2.00044149229089,raw,23,0.0018833933835571569,0.00025477707006369424
dead,dead,0.11935093431456822,raw,5,0.00040943334425155587,0.0003633705753367443
deal,deal,0.7855652325149256,raw,8,0.0006550933508024893,0.0002986321395008875
dealing,deal,1.5172061178355347,raw,5,0.00040943334425155587,8.97984755142529e-05
deals,deal,2.5703560324268873,raw,5,0.00040943334425155587,3.1325049597995194e-05
death,death,-0.16328971586428678,raw,6,0.000491320013101867,0.000578469249242978
decades,decad,1.2412200851469453,raw,3,0.0002456600065509335,7.100344575545578e-05
decision,decis,0.6816042972115225,raw,6,0.000491320013101867,0.0002485120601440952
decisions,decis,1.4717437437587775,raw,6,0.000491320013101867,0.00011277017855278271
decline,declin,1.6212754777297411,raw,4,0.00032754667540124465,6.473843583585675e-05
defined,defin,2.3079917679593964,raw,10,0.0008188666885031117,8.144512895478751e-05
